;naam;straatnaam;nummeraanduiding;postcode;plaatsnaam;GEMEENTENUMMER;GEMEENTENAAM;DENOMINATIE;TELEFOONNUMMER;INTERNETADRES
BevoegdGezag;Naam;Straatnaam;Adres;Adres;Adres;Adres;Adres;BevoegdGezag;BevoegdGezag;BevoegdGezag
83656;Ver. 'een School met de Bijb.';Zuiderzeestraatweg Oost;62;8081 LD;ELBURG;230;ELBURG;Protestants-Christelijk;525681789;www.pwa-oostendorp.nl
83696;Ver. Prot.-Christ. Ond. Holten;Schoolstraat;9;7451 EV;HOLTEN;1742;RIJSSEN-HOLTEN;Protestants-Christelijk;548366160;www.deregenboog-holten.nl
83786;Instituut Coolsma;Coolsmalaan;3-mei;3971 KW;DRIEBERGEN-RIJSENBURG;1581;UTRECHTSE HEUVELRUG;Protestants-Christelijk;343513735;www.cbscoolsma.nl
83864;Ver. Een School met de Bijbel;Dubbelsteynlaan West;54;3319 EL;DORDRECHT;505;DORDRECHT;Protestants-Christelijk;786214437;www.eenschoolmetdebijbel.nl
83968;Ver. Hervormde Scholen Ede;Horapark;3;6717 LZ;EDE GLD;228;EDE;Protestants-Christelijk;318675159;www.hervormdescholenede.nl
84046;Ver. Prot.-Chr. Ond. Eerbeek;T.M.C. Asserstraat;28;6961 XB;EERBEEK;213;BRUMMEN;Protestants-Christelijk;313651796;www.de-enk-eerbeek.nl
84215;Ver. Stg. School met de Bijbel;Stationsweg;87;8166 KA;EMST;232;EPE;Protestants-Christelijk;578661288;www.schoolmetdebijbel-emst.nl
84332;Vereniging v. PCBO 'Rehoboth';De Kolk;1;9249 MC;FRIESCHEPALEN;86;OPSTERLAND;Protestants-Christelijk;512302600;www.pcborehoboth.nl
84411;Ver. Jenaplanschool Gouda;Scholenpad;4;2804 RW;GOUDA;513;GOUDA;Algemeen bijzonder;182546744;www.carrousel.nl
84423;Ver. Prot. Chr. Ond. Garderen;Puurveenseweg;31;3774 PH;KOOTWIJKERBROEK;203;BARNEVELD;Protestants-Christelijk;342440390;                                                                                
84489;Stichting Freinetschool Heiloo;Boekenstein;43;1852 WS;HEILOO;399;HEILOO;Algemeen bijzonder;725321585;www.elckerlyc-heiloo.nl
84567;Stichting 'De Nieuwe Kring';Prinses Beatrixlaan;156-C;1111 GH;DIEMEN;384;DIEMEN;Algemeen bijzonder;206400982;www.denieuwekring.nl
