PRODUKT_CODE;B_DAT_PRODUKT;PROD_COMP_CODE;B_DAT_PROD_COMP;E_DAT_PROD_COMP;SOORT_PROD_COMP;KOST_PL_E_COMP;KOST_PL_H_COMP;GB_NR_PROD_COMP;BEDR_PROD_COMP;BTW_C_PROD_COMP;BTW_P_PROD_COMP;MUT_DAT_PR_COMP;AMBT_CODE_MUT;TYD_STEMPEL
003;20130104;2;20130104;20130109;K;4600;1151;62099999;1.00;;0.00;20130103;SAP;3566826018
003;20100101;1;20100101;20130103;O;2050;1151;82121100;15.00;;0.00;20091231;SAP;3566307618
003;20100101;2;20100101;20130103;K;2050;1151;62099999;1.00;;0.00;20091231;SAP;3566307618
003;20050706;1;20050706;20091231;O;2050;1151;82121100;15.00;;0.00;20091102;SAP;3466256504
003;20050706;2;20050706;20091231;K;2050;1151;62099999;1.00;;0.00;20091102;SAP;3466256504
003;20050527;1;20050527;20050705;O;2050;1151;82181000;15.00;;0.00;20050526;SAP;3329658047
003;20050527;2;20050527;20050705;K;2050;1151;62099999;1.00;;0.00;20050526;SAP;3329658047
003;20040101;1;20040101;20050526;O;6220;1151;82121100;15.00;;0.00;20050111;RAP;3326196069
003;20040101;2;20040101;20050526;K;6220;1151;62099999;1.00;;0.00;20031029;RAP;3326196069
003;20030101;1;20030101;20031231;O;6220;1151;82181000;11.50;;0.00;20021008;RAP;3243160107
003;20030101;2;20030101;20031231;K;6220;1151;62099999;1.00;;0.00;20021008;RAP;3243160107
003;20020101;1;20020101;20021231;O;6220;1151;82181000;11.30;;0.00;20011031;EUR;3213621519
003;20020101;2;20020101;20021231;K;6220;1151;62099999;1.00;;0.00;20011031;EUR;3213621519
003;20000101;1;20000101;20011231;O;6220;1151;82181000;25.00;;0.00;20011031;RAP;3213621518
003;20000101;2;20000101;20011231;K;6220;1151;62099999;1.00;;0.00;20011031;RAP;3213621518
003;19961012;1;19961012;19991231;O;6220;15;82181000;25.00;;0.00;20010616;RAP;3201759078
003;19961012;2;19961012;19991231;K;6220;15;62181000;1.00;;0.00;20010616;RAP;3201759078
003;19960101;1;19960101;19961011;O;6220;15;82181000;25.00;;0.00;19960925;RAP;3052739738
003;19960101;2;19960101;19961011;K;6220;15;62181000;1.00;;0.00;19960925;RAP;3052739738
004;20050601;1;20050601;99999999;O;3010;1291;83012020;4.60;;0.00;20050531;SAP;3326696293
004;20050601;2;20050601;99999999;K;3010;1291;63099999;1.00;;0.00;20050531;SAP;3326696293
004;20040123;1;20040123;20050531;O;3010;1291;99999999;1.00;;0.00;20040122;RAP;3326696293
004;20040123;2;20040123;20050531;K;3010;1291;63099999;1.00;;0.00;20040122;RAP;3326696293
004;20030101;1;20030101;20040122;O;3010;1291;83021310;113.25;;0.00;20021126;RAP;3247374345
004;20030101;2;20030101;20040122;K;3010;1291;63099999;1.00;;0.00;20021126;RAP;3247374345
004;20020101;1;20020101;20021231;O;3010;1291;83021310;113.25;;0.00;20011212;RAP;3217242551
004;20020101;2;20020101;20021231;K;3010;1291;63099999;1.00;;0.00;20011212;RAP;3217242551
004;20000101;1;20000101;20011231;O;3250;1291;83021310;250.00;;0.00;20011031;RAP;3213621518
004;20000101;2;20000101;20011231;K;3250;1291;63099999;1.00;;0.00;20011031;RAP;3213621518
004;19961008;1;19961008;19991231;O;3250;29;83082110;250.00;;0.00;20010616;RAP;3201759078
004;19961008;2;19961008;19991231;K;3250;29;63082110;1.00;;0.00;20010616;RAP;3201759078
004;19960101;1;19960101;19961007;O;6210;14;82181000;250.00;;0.00;19960925;RAP;3052740293
004;19960101;2;19960101;19961007;K;6210;14;62181000;1.00;;0.00;19960925;RAP;3052740293
005;20110901;1;20110901;99999999;O;3010;1291;83021123;0.00;;0.00;20110831;SAP;3523885275
005;20110901;2;20110901;99999999;K;3010;1291;63099999;1.00;;0.00;20110831;SAP;3523885275
005;20100101;1;20100101;20110831;O;3010;1291;83021123;11.50;;0.00;20110818;SAP;3522762085
005;20100101;2;20100101;20110831;K;3010;1291;63099999;1.00;;0.00;20110818;SAP;3522762085
005;20070101;1;20070101;20091231;O;3010;1291;83021123;11.50;;0.00;20091102;SAP;3466256504
005;20070101;2;20070101;20091231;K;3010;1291;63099999;1.00;;0.00;20091102;SAP;3466256504
005;20060106;1;20060106;20061231;O;3010;1291;83021123;11.55;;0.00;20061204;SAP;3374326930
005;20060106;2;20060106;20061231;K;3010;1291;63099999;1.00;;0.00;20061204;SAP;3374326930
005;20050527;1;20050527;20060105;O;3010;1291;83022410;11.55;;0.00;20050526;SAP;3345555691
005;20050527;2;20050527;20060105;K;3010;1291;63099999;1.00;;0.00;20050526;SAP;3345555691
005;20050101;1;20050101;20050526;O;3010;1291;83021123;11.55;;0.00;20041026;RAP;3326196069
005;20050101;2;20050101;20050526;K;3010;1291;63099999;1.00;;0.00;20041026;RAP;3326196069
005;20040101;1;20040101;20041231;O;3010;1291;83021123;11.00;;0.00;20031216;RAP;3280661551
005;20040101;2;20040101;20041231;K;3010;1291;63099999;1.00;;0.00;20031029;RAP;3276498609
005;20020101;1;20020101;20031231;O;3010;1291;83022410;0.00;;0.00;20011212;RAP;3217242672
005;20020101;2;20020101;20031231;K;3010;1291;63099999;1.00;;0.00;20030926;RAP;3273639523
005;20000101;1;20000101;20011231;O;3250;1291;83022410;0.00;;0.00;20011031;RAP;3213621518
005;20000101;2;20000101;20011231;K;3250;1141;63099999;1.00;;0.00;20011031;RAP;3213621518
005;19961002;1;19961002;19991231;O;3250;29;83022410;0.00;;0.00;20010616;RAP;3201759078
005;19961002;2;19961002;19991231;K;3250;14;63022410;1.00;;0.00;20010616;RAP;3201759078
005;19960101;1;19960101;19961001;O;3250;29;83022410;0.00;;0.00;19960926;RAP;3052821312
005;19960101;2;19960101;19961001;K;6210;14;63022410;1.00;;0.00;19960926;RAP;3052821312
006;20151217;1;20151217;99999999;O;3010;1251;83021040;31.50;;0.00;20151216;SAP;3659360421
006;20151217;2;20151217;99999999;K;3010;1251;63099999;1.00;;0.00;20151216;SAP;3659360421
006;20131205;1;20131205;20151216;O;3010;1251;83021040;31.50;;0.00;20131204;SAP;3659360421
006;20131205;2;20131205;20151216;K;3010;1251;63099999;1.00;;0.00;20131204;SAP;3659360421
006;20130101;1;20130101;20131204;O;3010;1251;83021040;31.50;;0.00;20121231;SAP;3595251616
006;20130101;2;20130101;20131204;K;3010;1251;63099999;1.00;;0.00;20121231;SAP;3595251616
006;20100101;1;20100101;20121231;O;3010;1251;83021040;31.00;;0.00;20121211;SAP;3564320413
006;20100101;2;20100101;20121231;K;3010;1251;63099999;1.00;;0.00;20121211;SAP;3564320413
006;20090205;1;20090205;20091231;O;3010;1251;83021040;29.50;;0.00;20091030;SAP;3465997303
006;20090205;2;20090205;20091231;K;3010;1251;63099999;1.00;;0.00;20091030;SAP;3465997303
006;20030122;1;20030122;20090204;O;3010;1251;83021040;29.50;;0.00;20030121;RAP;3442842114
006;20030122;2;20030122;20090204;K;3010;1251;63099999;1.00;;0.00;20030121;RAP;3442842114
007;20131205;1;20131205;99999999;O;4600;1141;82181000;0.00;;0.00;20131204;SAP;3595251616
007;20131205;2;20131205;99999999;K;4600;1141;62099999;1.00;;0.00;20131204;SAP;3595251616
007;20130104;1;20130104;20131204;O;4600;1141;82181000;0.00;;0.00;20130103;SAP;3595251616
007;20130104;2;20130104;20131204;K;4600;1141;62099999;1.00;;0.00;20130103;SAP;3595251616
007;20090206;1;20090206;20130103;O;2050;1141;82181000;0.00;;0.00;20090205;SAP;3566307617
007;20090206;2;20090206;20130103;K;2050;1141;62099999;1.00;;0.00;20090205;SAP;3566307617
007;20050707;1;20050707;20090205;O;2050;1141;82181000;0.00;;0.00;20050706;SAP;3442928549
007;20050707;2;20050707;20090205;K;2050;1141;62099999;1.00;;0.00;20050706;SAP;3442928549
007;20040422;1;20040422;20050706;O;6210;1141;82181000;0.00;;0.00;20011031;EUR;3329744453
007;20040422;2;20040422;20050706;K;6210;1141;62099999;1.00;;0.00;20011031;EUR;3329744453
007;20020101;1;20020101;20040421;O;6210;1141;82181000;0.00;;0.00;20011031;EUR;3213621519
007;20020101;2;20020101;20040421;K;6210;1141;62099999;1.00;;0.00;20011031;EUR;3213621519
007;20000101;1;20000101;20011231;O;6210;1141;82181000;0.00;;0.00;20011031;RAP;3213621518
007;20000101;2;20000101;20011231;K;6210;1141;62099999;1.00;;0.00;20011031;RAP;3213621518
007;19960101;1;19960101;19991231;O;6210;14;82181000;0.00;;0.00;20010616;RAP;3201759078
007;19960101;2;19960101;19991231;K;6210;14;62181000;1.00;;0.00;20010616;RAP;3201759078
008;20100101;1;20100101;99999999;O;3010;1291;83021010;29.50;;0.00;20091231;SAP;3471354114
008;20100101;2;20100101;99999999;K;3010;1291;63099999;1.00;;0.00;20091231;SAP;3471354114
008;20070424;1;20070424;20091231;O;3010;1291;83021010;29.50;;0.00;20091102;SAP;3466256504
008;20070424;2;20070424;20091231;K;3010;1291;63099999;1.00;;0.00;20091102;SAP;3466256504
008;20050601;1;20050601;20070423;O;3010;1291;83021010;29.50;;0.00;20050531;SAP;3386422939
008;20050601;2;20050601;20070423;K;3010;1291;63099999;1.00;;0.00;20050531;SAP;3386422939
008;19960101;1;19960101;19961231;O;6220;7;82181000;20.00;;0.00;19960819;RAP;3049529813
008;19960101;2;19960101;19961231;K;6220;7;62181000;1.00;;0.00;19960925;RAP;3052735896
009;20130101;1;20130101;99999999;O;3010;1291;83021031;58.00;;0.00;20121231;SAP;3566048418
009;20130101;2;20130101;99999999;K;3010;1291;63099999;1.00;;0.00;20121231;SAP;3566048418
009;20090206;1;20090206;20121231;O;3010;1291;83021031;57.75;;0.00;20121211;SAP;3564320413
