PROD_CODE;PROD_OMS;NORM_TYD_ADM;PROD_RDW_PROD_D;SRT_WERK_INSTR;WERK_INSTR_VNR;PROC_ID_PROD;SOORT_PROD;B_DAT_PROD;E_DAT_PROD;PROD_KLAS;ART_SL_KAPSTOK;STEEK_PR_P_PROD;MAX_ST_PR_PROD;SCH_T_WO_PROD;ORG_OND_PROD;PRES_VNR_PROD;PRES_GROEP_PROD;TYD_STEMPEL
BEINDERK;Beëindigen erkenning;NULL;NULL;NULL;NULL;2675;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;2;4;3645532828
EINDBEDREG;Beëindigen bedrijfsregistratie;NULL;NULL;NULL;NULL;2664;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;1;4;3514878496
OPVERKPROD;Opvoeren erkenningsproduct;NULL;NULL;NULL;NULL;2666;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;3;2;3515219039
OVZERK;Overzetten erkenning;NULL;NULL;NULL;NULL;2678;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;2;2;3544343882
VERWBEDREG;Verwijderen einddatum bedrijfsregistratie;NULL;NULL;NULL;NULL;2665;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;1;5;3514878538
VRWEDATERK;Verwijderen einddatum erkenning;NULL;NULL;NULL;NULL;2676;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;2;5;3645532893
VSTLBEDREG;Vastleggen bedrijfsregistratie;NULL;NULL;NULL;NULL;2663;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;1;1;3544343288
VSTLGERK;Vastleggen erkenning;NULL;NULL;NULL;NULL;2677;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;1;2;3574225120
WYZSTATPRD;Wijzigen status erkenningsproduct;NULL;NULL;NULL;NULL;2679;A;20110520;29991231;NULL;NULL;NULL;NULL;999;E&T;1;3;3514878949
